audio,target
"[ 0.00216675  0.00271606  0.00268555 ... -0.01992798 -0.0227356
 -0.01733398]",0
"[-0.47647095 -0.5246277  -0.47766113 ...  0.00250244  0.00088501
 -0.00061035]",6
"[-0.02078247 -0.01861572 -0.00253296 ... -0.00534058 -0.00878906
 -0.02420044]",36
[0.00064087 0.00094604 0.00064087 ... 0.         0.         0.        ],34
"[0.0000000e+00 3.0517578e-05 3.0517578e-05 ... 5.9509277e-03 9.3994141e-03
 9.0637207e-03]",20
"[-9.1552734e-05 -6.1035156e-05  1.8310547e-04 ... -2.1362305e-03
 -2.4414062e-03 -1.5563965e-03]",20
"[-3.6621094e-04 -6.1035156e-05  0.0000000e+00 ... -2.0568848e-02
 -3.7750244e-02 -1.2054443e-02]",32
[0.00048828 0.00054932 0.00048828 ... 0.         0.         0.        ],17
"[ 0.03768921  0.04699707  0.03759766 ... -0.00836182 -0.00524902
 -0.00073242]",11
"[-0.11862183 -0.11560059 -0.11361694 ...  0.02935791  0.03567505
  0.03683472]",44
[0.00115967 0.00454712 0.00622559 ... 0.0112915  0.01101685 0.01019287],27
"[-0.02624512 -0.03674316 -0.04562378 ...  0.04376221  0.0411377
  0.03085327]",45
"[-0.26089478 -0.26428223 -0.2664795  ... -0.07208252 -0.06600952
 -0.06176758]",44
[0.02355957 0.02325439 0.02209473 ... 0.02542114 0.02572632 0.02587891],32
"[-0.00015259 -0.00021362 -0.00021362 ...  0.          0.
  0.        ]",38
"[-3.6621094e-04 -2.4414062e-04  9.1552734e-05 ...  1.8310547e-04
  1.8310547e-04  1.5258789e-04]",38
[0.06018066 0.09613037 0.1076355  ... 0.00180054 0.00177002 0.00158691],24
"[ 0.06628418  0.08773804  0.10067749 ... -0.08685303 -0.08914185
 -0.09066772]",10
"[ 0.00012207  0.00039673  0.00057983 ... -0.07293701 -0.05130005
 -0.02398682]",41
"[-0.08062744 -0.10308838 -0.07366943 ... -0.26324463 -0.31411743
 -0.24664307]",41
"[-0.23394775 -0.36642456 -0.4253235  ... -0.45721436 -0.4284973
 -0.43554688]",45
"[-0.00720215 -0.01620483 -0.00564575 ... -0.00094604  0.00024414
  0.00115967]",13
"[ 0.0000000e+00 -3.0517578e-05 -3.0517578e-05 ... -3.0517578e-05
 -3.0517578e-05  0.0000000e+00]",37
[0.00131226 0.00183105 0.00308228 ... 0.         0.         0.        ],17
"[ 3.0517578e-05  0.0000000e+00 -6.1035156e-05 ... -2.8076172e-03
 -2.6245117e-03 -2.5024414e-03]",29
"[-0.0446167   0.06188965  0.01101685 ...  0.056427   -0.02478027
 -0.00320435]",27
"[-0.00073242 -0.00823975 -0.00488281 ...  0.          0.
  0.        ]",27
"[-0.00167847 -0.0020752  -0.00363159 ...  0.         -0.00012207
 -0.00146484]",34
"[-0.00073242 -0.00082397 -0.00140381 ... -0.00094604 -0.00076294
 -0.00094604]",34
[0. 0. 0. ... 0. 0. 0.],34
"[-0.05499268 -0.05541992 -0.05581665 ...  0.02731323  0.02319336
  0.01879883]",3
"[-0.07958984 -0.05810547 -0.0362854  ... -0.0057373  -0.00445557
 -0.00296021]",3
"[-0.16625977 -0.24511719 -0.26782227 ...  0.18301392  0.11807251
  0.17016602]",16
"[ 0.15838623  0.16525269  0.16793823 ... -0.04449463 -0.0249939
 -0.00933838]",45
"[-0.00158691 -0.00192261 -0.00128174 ... -0.00057983 -0.00109863
 -0.00091553]",12
"[ 0.02719116  0.02249146  0.01431274 ... -0.01126099 -0.01016235
 -0.0071106 ]",6
"[-9.1552734e-05 -9.1552734e-05 -9.1552734e-05 ...  1.5258789e-04
  9.1552734e-05  3.0517578e-05]",37
"[-0.00030518 -0.00033569 -0.00027466 ... -0.0005188  -0.00057983
 -0.0005188 ]",37
[0.11837769 0.07037354 0.01879883 ... 0.03997803 0.03475952 0.02990723],6
"[-0.6588135  -0.664978   -0.6510315  ...  0.01556396  0.01452637
  0.01760864]",6
"[ 0.00024414 -0.00045776 -0.00042725 ... -0.00024414  0.00024414
  0.00018311]",26
"[-0.37524414 -0.40005493 -0.4321289  ... -0.08636475 -0.10650635
 -0.12530518]",26
[0.11520386 0.1486206  0.06900024 ... 0.02288818 0.02801514 0.02697754],7
"[-0.15252686 -0.05081177  0.00552368 ... -0.13418579 -0.18450928
 -0.16687012]",37
"[ 0.08514404  0.00369263 -0.00100708 ...  0.02410889 -0.01443481
 -0.02279663]",13
"[ 0.0000000e+00 -3.0517578e-05 -3.0517578e-05 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",9
"[ 0.04360962  0.03591919  0.03100586 ... -0.01733398 -0.00912476
 -0.00485229]",7
"[ 0.0151062   0.04437256  0.07312012 ... -0.02590942 -0.02160645
 -0.01693726]",8
"[ 0.34866333  0.29733276  0.25320435 ... -0.94821167 -0.9456177
 -0.92099   ]",42
"[-0.01391602  0.04519653  0.09191895 ... -0.34353638 -0.272583
 -0.20388794]",42
"[-0.23239136 -0.2119751  -0.20373535 ... -0.07717896 -0.02655029
  0.02105713]",42
[0.15930176 0.15701294 0.1534729  ... 0.23196411 0.22979736 0.22616577],42
"[-0.27835083 -0.32281494 -0.34674072 ...  0.6465149   0.74398804
  0.785553  ]",42
"[-0.00875854 -0.00888062 -0.01144409 ...  0.04296875  0.03717041
  0.03848267]",3
"[-0.04022217 -0.04101562 -0.04681396 ...  0.          0.
  0.        ]",3
[0.01004028 0.01074219 0.01086426 ... 0.         0.         0.        ],5
"[-3.0517578e-05  0.0000000e+00  0.0000000e+00 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",29
[0.01153564 0.01211548 0.01010132 ... 0.         0.         0.        ],17
"[-1.2207031e-04  2.1362305e-04  9.4604492e-04 ... -2.1252441e-01
 -2.4740601e-01 -1.8527222e-01]",36
"[-0.00509644 -0.00762939 -0.01538086 ...  0.00354004  0.00299072
 -0.00018311]",32
"[ 0.00076294 -0.0017395  -0.00128174 ... -0.01721191 -0.04568481
 -0.05526733]",7
"[-0.0423584  -0.04873657 -0.05380249 ...  0.33013916  0.29623413
  0.2635498 ]",49
[0.04620361 0.046875   0.04940796 ... 0.         0.         0.        ],49
"[-0.3451538  -0.34848022 -0.3371277  ...  0.2230835   0.22650146
  0.21881104]",7
"[ 0.00180054  0.0050354   0.006073   ... -0.006073   -0.0055542
 -0.00387573]",13
"[-0.00195312 -0.0045166  -0.00024414 ... -0.00430298 -0.00299072
 -0.00265503]",13
"[ 0.00509644  0.00570679  0.00430298 ... -0.02172852 -0.021698
 -0.02206421]",30
"[-0.03915405 -0.04058838 -0.04211426 ...  0.          0.
  0.        ]",30
"[-0.00512695 -0.00772095 -0.00930786 ... -0.00927734 -0.00982666
 -0.01040649]",3
"[ 0.00137329  0.00115967  0.00088501 ... -0.02474976 -0.02902222
 -0.03253174]",31
"[-0.00335693 -0.00408936 -0.00354004 ...  0.          0.
  0.        ]",21
[0.00088501 0.00024414 0.00076294 ... 0.         0.         0.        ],30
"[ 0.00119019  0.00109863  0.00100708 ... -0.0128479  -0.01293945
 -0.01303101]",32
"[0.0000000e+00 6.1035156e-05 3.0517578e-05 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]",39
[0. 0. 0. ... 0. 0. 0.],39
"[-0.0078125  -0.04058838 -0.00167847 ...  0.          0.
  0.        ]",39
[0.00350952 0.00488281 0.00506592 ... 0.06460571 0.06481934 0.06500244],31
"[-6.1035156e-05 -6.1035156e-05 -9.1552734e-05 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",39
"[-0.00036621  0.00366211  0.00048828 ...  0.          0.
  0.        ]",39
"[ 0.01425171  0.01580811  0.01092529 ... -0.00796509 -0.01004028
 -0.00842285]",0
"[-0.0027771  -0.0045166  -0.0038147  ...  0.00326538  0.00341797
  0.00341797]",29
"[-0.25021362 -0.22927856 -0.21078491 ... -0.01708984 -0.01559448
 -0.0133667 ]",29
[0.15396118 0.17855835 0.20101929 ... 0.0319519  0.02966309 0.02838135],45
"[ 0.28347778  0.27471924  0.2614441  ...  0.02914429  0.0100708
 -0.00790405]",45
"[-0.05874634 -0.05661011 -0.05136108 ...  0.14337158  0.1428833
  0.1399231 ]",8
[0. 0. 0. ... 0. 0. 0.],39
[0. 0. 0. ... 0. 0. 0.],15
[0.02755737 0.0324707  0.01983643 ... 0.11172485 0.14389038 0.08172607],11
"[-0.03259277 -0.04571533 -0.0406189  ...  0.1817627   0.2225647
  0.17156982]",11
"[ 0.05978394  0.04992676 -0.04586792 ... -0.01416016 -0.01455688
 -0.01501465]",22
"[9.1552734e-05 6.1035156e-04 1.0070801e-03 ... 8.8500977e-04 4.2724609e-04
 2.4414062e-04]",32
"[-1.5258789e-04 -1.5258789e-04  1.5258789e-04 ... -1.2512207e-03
 -1.2512207e-03 -9.1552734e-05]",32
"[-0.00234985 -0.00268555 -0.00280762 ... -0.0022583  -0.00262451
 -0.00289917]",31
[0.02850342 0.05123901 0.06765747 ... 0.         0.         0.        ],37
"[ 0.01052856  0.01052856  0.01043701 ... -0.00012207 -0.00012207
 -0.00015259]",9
"[2.1026611e-02 1.1749268e-02 2.2583008e-03 ... 3.0517578e-05 9.1552734e-05
 1.2207031e-04]",9
[0. 0. 0. ... 0. 0. 0.],0
[0.08197021 0.5166931  0.8742676  ... 0.         0.         0.        ],39
"[-6.1035156e-05 -6.1035156e-05  3.0517578e-05 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",31
[0.00363159 0.0032959  0.00686646 ... 0.00183105 0.00515747 0.00616455],13
[0.01364136 0.00894165 0.00610352 ... 0.00772095 0.03533936 0.11221313],49
[0.00613403 0.00921631 0.00732422 ... 0.00137329 0.0032959  0.00698853],49
"[-0.03665161 -0.03512573 -0.03390503 ...  0.          0.
  0.        ]",49
"[-0.00057983 -0.00021362  0.00021362 ...  0.00018311 -0.00012207
  0.00018311]",31
"[ 0.04241943  0.04663086  0.04733276 ... -0.01382446 -0.03091431
 -0.01876831]",43
"[-6.1035156e-05 -9.1552734e-05 -3.0517578e-05 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",1
"[-0.1317749  -0.12240601 -0.05377197 ...  0.04122925  0.09448242
  0.08276367]",10
"[-0.00033569 -0.00048828 -0.00048828 ...  0.01251221  0.01184082
  0.00610352]",17
"[-0.00073242 -0.00274658 -0.00610352 ...  0.          0.
  0.        ]",17
[0.0022583  0.0020752  0.00512695 ... 0.         0.         0.        ],17
"[-9.1552734e-05 -2.1362305e-04 -2.1362305e-04 ... -1.2329102e-02
 -1.7944336e-02 -2.0965576e-02]",17
"[-0.0105896  -0.01409912 -0.01660156 ...  0.          0.
  0.        ]",17
"[ 0.0177002  -0.00299072 -0.01852417 ... -0.01782227 -0.02423096
 -0.02630615]",17
"[-0.01687622 -0.00143433  0.01977539 ...  0.          0.
  0.        ]",17
"[-0.02999878 -0.0194397   0.00784302 ...  0.          0.
  0.        ]",37
"[-0.04083252 -0.0345459  -0.04095459 ... -0.10290527 -0.09472656
 -0.10263062]",35
"[ 0.0484314   0.04122925  0.04577637 ... -0.05487061 -0.05401611
 -0.04415894]",35
"[-0.05566406 -0.06030273 -0.0725708  ...  0.11550903  0.10345459
  0.12857056]",35
"[ 0.3103943   0.31085205  0.32678223 ... -0.5332031  -0.58395386
 -0.53582764]",35
"[-0.04031372 -0.03585815 -0.034729   ...  0.00765991  0.0055542
  0.00552368]",35
[0. 0. 0. ... 0. 0. 0.],29
"[ 2.1362305e-04  2.7465820e-04 -9.1552734e-05 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",29
"[-0.05780029 -0.06967163 -0.06448364 ... -0.0904541  -0.09683228
 -0.08575439]",11
"[-0.05084229 -0.03625488 -0.00299072 ...  0.          0.
  0.        ]",3
[0.0788269  0.11279297 0.137146   ... 0.         0.         0.        ],3
[0.356781   0.38729858 0.42089844 ... 0.         0.         0.        ],3
[0.19943237 0.18499756 0.17422485 ... 0.         0.         0.        ],3
[0.05914307 0.05557251 0.04373169 ... 0.         0.         0.        ],3
[0.05328369 0.05230713 0.0506897  ... 0.01379395 0.01245117 0.01083374],19
"[-0.18441772 -0.17321777 -0.16046143 ...  0.01242065  0.01242065
  0.01239014]",19
"[-0.00311279 -0.01034546 -0.01193237 ...  0.          0.
  0.        ]",32
"[ 3.0517578e-05  1.2207031e-04  1.8310547e-04 ...  3.0517578e-05
 -3.0517578e-05 -6.1035156e-05]",37
"[-0.0965271   0.10888672  0.25387573 ... -0.01339722 -0.05206299
 -0.05987549]",37
"[-0.09503174 -0.10031128 -0.10372925 ...  0.00042725  0.00085449
  0.00125122]",3
[0.01403809 0.01208496 0.01043701 ... 0.00091553 0.00317383 0.00509644],16
"[-0.01831055 -0.0161438  -0.01446533 ...  0.05435181  0.05566406
  0.05758667]",16
"[-0.0319519  -0.03143311 -0.03067017 ...  0.01416016  0.01428223
  0.01449585]",47
"[-0.06494141 -0.06369019 -0.06045532 ... -0.00177002 -0.00335693
 -0.00601196]",44
[0.19067383 0.19766235 0.2029419  ... 0.18432617 0.19116211 0.19747925],44
"[ 0.07546997  0.07443237  0.07220459 ... -0.0612793  -0.05886841
 -0.05651855]",44
"[-0.01641846 -0.01583862 -0.01498413 ...  0.03012085  0.02987671
  0.02304077]",13
"[ 0.43112183  0.4298706   0.35565186 ... -0.47323608 -0.31658936
 -0.0703125 ]",36
[0.15075684 0.08569336 0.11175537 ... 0.12149048 0.15332031 0.15924072],36
[0.02279663 0.02154541 0.01608276 ... 0.02346802 0.0100708  0.01635742],44
"[-0.02767944 -0.03161621 -0.02835083 ... -0.20932007 -0.17962646
 -0.18560791]",44
[0.1081543  0.09957886 0.08532715 ... 0.38919067 0.4255371  0.45968628],47
[0. 0. 0. ... 0. 0. 0.],39
"[-0.03112793 -0.03076172 -0.03283691 ... -0.33929443 -0.33572388
 -0.34866333]",44
"[ 4.9041748e-02  4.8583984e-02  4.8339844e-02 ... -1.5258789e-04
  6.1035156e-05  2.7465820e-04]",44
"[-0.00930786 -0.01641846 -0.01464844 ...  0.          0.
  0.        ]",20
"[-0.00222778 -0.00216675 -0.00097656 ...  0.          0.
  0.        ]",20
[0.00537109 0.00549316 0.00579834 ... 0.         0.         0.        ],24
"[ 0.06036377  0.0647583   0.06710815 ... -0.03564453 -0.03723145
 -0.04217529]",14
"[ 0.01296997  0.00808716  0.006073   ... -0.02633667 -0.02606201
 -0.02780151]",14
[0.02297974 0.0241394  0.02355957 ... 0.01623535 0.02520752 0.02182007],14
[0.0244751  0.02285767 0.02923584 ... 0.04055786 0.05252075 0.04864502],9
"[-0.00430298 -0.00448608 -0.00744629 ... -0.04782104 -0.04827881
 -0.04522705]",9
"[1.2207031e-04 3.2958984e-03 3.2958984e-03 ... 1.9531250e-03 1.0375977e-03
 3.0517578e-05]",9
"[-0.0062561  -0.00527954 -0.00552368 ...  0.00286865  0.00439453
  0.00369263]",9
[0.00964355 0.00732422 0.00656128 ... 0.00396729 0.00537109 0.00549316],9
"[-0.02752686 -0.02670288 -0.02612305 ... -0.07110596 -0.07272339
 -0.074646  ]",9
"[-0.04174805 -0.04202271 -0.04241943 ... -0.02389526 -0.01965332
 -0.02566528]",9
"[-0.00292969 -0.00460815 -0.00714111 ...  0.00076294  0.00027466
  0.00091553]",9
"[-0.00512695 -0.0050354  -0.00497437 ...  0.0140686   0.01416016
  0.0140686 ]",32
[0.06930542 0.07687378 0.08328247 ... 0.07104492 0.06958008 0.06619263],16
"[ 0.26382446  0.25042725  0.2355957  ... -0.16101074 -0.1513977
 -0.13955688]",16
"[ 0.07836914  0.07852173  0.07910156 ... -0.01486206 -0.01712036
 -0.01913452]",16
"[-0.01263428 -0.00698853 -0.00015259 ...  0.03915405  0.03967285
  0.03961182]",16
"[-0.03359985 -0.03244019 -0.03118896 ...  0.06719971  0.06713867
  0.06686401]",16
"[-0.00238037 -0.00338745 -0.00268555 ...  0.          0.
  0.        ]",21
[0.00125122 0.00012207 0.00067139 ... 0.01165771 0.01168823 0.01150513],26
"[-0.07168579 -0.02835083  0.01318359 ... -0.01086426 -0.04022217
 -0.03540039]",26
[0.05905151 0.06326294 0.06790161 ... 0.         0.         0.        ],5
[0.01568604 0.01809692 0.02108765 ... 0.         0.         0.        ],5
"[6.1035156e-05 6.1035156e-05 6.1035156e-05 ... 1.8310547e-04 1.2207031e-04
 6.1035156e-05]",28
"[ 6.1035156e-05  1.2207031e-04  0.0000000e+00 ... -3.3569336e-04
 -2.7465820e-04 -2.7465820e-04]",28
"[-0.00076294  0.01980591 -0.00061035 ...  0.05859375 -0.08016968
 -0.02044678]",13
"[ 0.02035522 -0.04266357 -0.11795044 ... -0.09112549 -0.09423828
 -0.09799194]",8
"[-0.06948853 -0.04699707 -0.01382446 ...  0.01187134  0.01190186
  0.01251221]",8
"[-0.00308228 -0.00405884 -0.00268555 ... -0.01699829 -0.12866211
 -0.08407593]",39
"[-0.00726318 -0.01882935 -0.01870728 ...  0.          0.
  0.        ]",39
"[-0.0043335  -0.00448608 -0.00418091 ...  0.          0.
  0.        ]",30
"[3.0517578e-05 3.0517578e-05 3.0517578e-05 ... 2.1362305e-04 2.1362305e-04
 1.2207031e-04]",0
"[ 0.00332642  0.00292969  0.00024414 ... -0.00668335 -0.00869751
 -0.00708008]",0
"[-0.03707886 -0.037323   -0.03735352 ... -0.00350952 -0.003479
 -0.00338745]",28
[0.00146484 0.00140381 0.00137329 ... 0.00015259 0.00021362 0.00024414],28
"[7.9040527e-03 9.6740723e-03 8.7280273e-03 ... 6.1035156e-05 1.2207031e-04
 0.0000000e+00]",0
"[ 0.00415039  0.00540161  0.00601196 ... -0.0067749  -0.00634766
 -0.00564575]",37
"[ 0.00280762  0.00372314  0.00372314 ... -0.03625488 -0.03903198
 -0.02752686]",0
"[-0.00253296  0.00610352  0.00857544 ...  0.00320435  0.00320435
  0.00216675]",28
[0.0078125  0.00723267 0.00552368 ... 0.17626953 0.17358398 0.16738892],48
"[ 5.3405762e-03  5.1269531e-03  5.1574707e-03 ...  0.0000000e+00
 -3.0517578e-05 -1.5258789e-04]",48
"[-0.04241943 -0.04431152 -0.04370117 ...  0.00018311  0.00054932
  0.00076294]",48
"[-0.00115967 -0.00131226 -0.00137329 ...  0.01303101  0.01199341
  0.01144409]",48
"[ 0.0017395   0.00180054  0.00204468 ... -0.01452637 -0.00183105
  0.00827026]",48
"[-0.23184204 -0.43688965 -0.39892578 ...  0.          0.
  0.        ]",48
"[ 0.02798462  0.04998779  0.06713867 ... -0.15219116 -0.328125
 -0.4798584 ]",48
"[ 0.04412842 -0.02023315 -0.07092285 ...  0.05337524  0.04989624
  0.02529907]",10
"[-0.01281738 -0.01062012 -0.00750732 ...  0.03503418  0.04415894
  0.05258179]",3
[0.04718018 0.04788208 0.0473938  ... 0.02935791 0.02984619 0.03045654],3
"[-0.00152588 -0.00015259 -0.00021362 ...  0.          0.
  0.        ]",0
"[-3.0517578e-05 -3.0517578e-05  3.0517578e-05 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",21
[0.00680542 0.00793457 0.01092529 ... 0.00991821 0.00869751 0.00708008],32
"[ 0.00802612 -0.01226807 -0.02734375 ... -0.01483154 -0.01525879
 -0.01223755]",32
[0.12823486 0.13070679 0.13305664 ... 0.01925659 0.0166626  0.01159668],30
"[ 0.25079346  0.25061035  0.24707031 ... -0.00469971 -0.00506592
 -0.00369263]",30
[0.00076294 0.00079346 0.00057983 ... 0.00592041 0.00640869 0.00482178],32
"[-0.00427246 -0.00476074 -0.00393677 ...  0.          0.
  0.        ]",0
"[-3.0517578e-05 -3.0517578e-05  0.0000000e+00 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",21
[0.0475769  0.03262329 0.03518677 ... 0.         0.         0.        ],31
"[-0.00015259  0.00027466  0.00112915 ...  0.12228394  0.12045288
  0.11734009]",8
"[ 0.00485229 -0.00088501  0.00082397 ...  0.05471802  0.2513733
  0.48721313]",8
"[ 0.00067139 -0.00039673 -0.00180054 ...  0.          0.
  0.        ]",8
"[-4.0588379e-03 -8.6975098e-03 -1.0955811e-02 ...  8.5449219e-04
  3.3569336e-04  3.0517578e-05]",38
"[-0.00067139 -0.00073242 -0.00079346 ... -0.01104736 -0.01104736
 -0.0111084 ]",30
"[-0.00308228 -0.00311279 -0.00311279 ...  0.02819824  0.02807617
  0.02758789]",30
[0.05114746 0.05065918 0.04309082 ... 0.00418091 0.00640869 0.00656128],32
"[-0.01864624  0.00054932  0.00546265 ...  0.          0.
  0.        ]",6
"[-0.09204102 -0.07839966 -0.04147339 ...  0.          0.
  0.        ]",6
[0.05444336 0.06002808 0.06613159 ... 0.28652954 0.2864685  0.28823853],35
"[-0.00189209 -0.00772095 -0.01596069 ... -0.08761597 -0.09188843
 -0.09661865]",29
[0.03256226 0.03610229 0.03640747 ... 0.00491333 0.02825928 0.04919434],45
[0.16607666 0.15957642 0.15109253 ... 0.04205322 0.04248047 0.00802612],45
[0.23797607 0.2593689  0.25686646 ... 0.3954773  0.37496948 0.3782959 ],45
[0.04199219 0.04733276 0.03305054 ... 0.04180908 0.0440979  0.03234863],45
"[ 4.2724609e-04  6.7138672e-04  7.9345703e-04 ... -3.0517578e-04
 -3.0517578e-04 -6.1035156e-05]",0
"[-0.00192261 -0.00286865 -0.00341797 ...  0.0017395   0.00213623
  0.0015564 ]",0
[0.11621094 0.158844   0.17913818 ... 0.00079346 0.00088501 0.00064087],14
"[-0.00247192 -0.00253296 -0.00268555 ... -0.00411987 -0.0043335
 -0.0045166 ]",29
"[-0.00836182 -0.00805664 -0.00784302 ... -0.00054932 -0.00057983
 -0.00079346]",29
"[-0.15078735 -0.20874023 -0.16296387 ...  0.08068848 -0.03512573
 -0.05841064]",36
"[-0.10650635  0.00863647  0.0447998  ...  0.04101562  0.18435669
  0.2852173 ]",36
"[-0.00030518 -0.00018311 -0.00015259 ... -0.00061035 -0.00067139
 -0.00045776]",33
"[-0.04870605 -0.0352478  -0.03216553 ...  0.01300049  0.02093506
  0.02624512]",24
[0.00869751 0.00881958 0.01260376 ... 0.00134277 0.00283813 0.00241089],15
"[-6.1035156e-05 -6.1035156e-05 -9.1552734e-05 ... -1.0192871e-02
 -7.9345703e-03 -1.4678955e-02]",11
"[-6.1706543e-02 -6.2408447e-02 -6.2835693e-02 ...  2.1362305e-04
  6.1035156e-05 -6.1035156e-05]",43
[0.00576782 0.01394653 0.01367188 ... 0.00686646 0.01132202 0.00094604],13
"[ 0.0743103  -0.08328247  0.0078125  ... -0.00228882 -0.02789307
 -0.03085327]",13
[0.06311035 0.08270264 0.06872559 ... 0.17819214 0.20858765 0.1678772 ],11
[0.11904907 0.11685181 0.11352539 ... 0.09475708 0.09576416 0.09796143],17
"[ 0.0010376  -0.00186157 -0.00259399 ...  0.          0.
  0.        ]",29
"[ 2.1362305e-04  8.5449219e-04  9.7656250e-04 ... -1.0375977e-03
 -5.1879883e-04 -3.0517578e-05]",38
"[-0.0005188  -0.00064087 -0.00073242 ... -0.03305054 -0.03027344
 -0.02804565]",6
"[-0.00485229 -0.00369263 -0.00253296 ...  0.21520996  0.15206909
  0.05200195]",43
"[-0.07565308 -0.0446167   0.00177002 ...  0.0486145   0.0463562
  0.0418396 ]",43
"[3.0517578e-05 3.0517578e-05 3.0517578e-05 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]",21
"[-1.5258789e-04 -9.1552734e-05 -3.0517578e-05 ...  0.0000000e+00
  0.0000000e+00  0.0000000e+00]",34
"[-0.00036621 -0.00057983 -0.0005188  ...  0.          0.
  0.        ]",21
"[0.0000000e+00 1.5258789e-04 3.0517578e-05 ... 0.0000000e+00 0.0000000e+00
 0.0000000e+00]",21
"[7.2082520e-02 9.5336914e-02 8.2641602e-02 ... 1.6479492e-03 2.9602051e-03
 6.1035156e-05]",38
"[-3.0517578e-05  2.4414062e-04  4.5776367e-04 ... -2.9602051e-02
 -2.9174805e-02 -3.0639648e-02]",11
"[ 0.01092529  0.01885986  0.00350952 ... -0.01556396 -0.03393555
 -0.03634644]",11
"[-0.00323486 -0.0022583  -0.00253296 ...  0.06741333  0.09082031
  0.07751465]",11
"[-0.08285522 -0.08041382 -0.07806396 ...  0.          0.
  0.        ]",30
"[-0.05111694 -0.04931641 -0.04690552 ...  0.          0.
  0.        ]",6
[0.         0.         0.         ... 0.0010376  0.0010376  0.00064087],38
[0.01452637 0.01489258 0.01525879 ... 0.         0.         0.        ],30
"[-0.03356934 -0.03051758 -0.02008057 ...  0.00378418  0.00247192
  0.00161743]",45
"[-0.17755127 -0.13671875 -0.10281372 ... -0.04138184 -0.04492188
 -0.04067993]",45
"[-0.05258179 -0.06817627 -0.07681274 ... -0.00500488 -0.00802612
 -0.0093689 ]",45
"[-0.00656128 -0.00588989 -0.00354004 ... -0.03683472 -0.04629517
 -0.03729248]",38
"[-0.00476074 -0.00543213 -0.00769043 ...  0.          0.
  0.        ]",49
"[-0.05804443 -0.08319092 -0.07556152 ...  0.0184021  -0.01016235
 -0.01177979]",11
[0.00311279 0.00317383 0.00302124 ... 0.00115967 0.0012207  0.00125122],31
"[-0.1928711  -0.18630981 -0.17263794 ...  0.02258301  0.0246582
  0.02636719]",43
"[-0.00274658 -0.00286865 -0.00302124 ...  0.00234985  0.00253296
  0.0027771 ]",15
"[ 0.00079346  0.00082397  0.00131226 ... -0.00363159 -0.00341797
 -0.00308228]",15
"[-1.2207031e-04  6.1035156e-05  6.1035156e-05 ...  7.6293945e-04
  4.2724609e-04  9.1552734e-05]",15
"[ 0.00997925  0.00387573 -0.00228882 ...  0.00350952  0.00286865
  0.00128174]",38
[0.08312988 0.08654785 0.08972168 ... 0.         0.         0.        ],30
[0. 0. 0. ... 0. 0. 0.],39
"[-0.0012207  -0.00048828 -0.00177002 ...  0.00170898  0.00222778
  0.0015564 ]",38
"[ 0.14517212  0.06698608  0.0446167  ... -0.10830688 -0.11154175
 -0.11029053]",36
"[-0.10491943 -0.04449463 -0.0592041  ...  0.162323    0.15374756
  0.16101074]",36
"[ 0.00268555  0.00308228 -0.00088501 ... -0.08850098  0.00027466
  0.02624512]",36
"[-0.5286255  -0.43829346 -0.41464233 ... -0.109375   -0.1756897
 -0.01599121]",36
[0. 0. 0. ... 0. 0. 0.],34
[0. 0. 0. ... 0. 0. 0.],43
"[ 0.00048828  0.00045776  0.00048828 ... -0.0012207  -0.00128174
 -0.00125122]",31
"[ 0.00061035 -0.00082397 -0.00152588 ... -0.0015564  -0.00137329
 -0.00125122]",31
"[-0.00106812 -0.00170898 -0.00158691 ...  0.          0.
  0.        ]",20
[0.01342773 0.01489258 0.01559448 ... 0.         0.         0.        ],31
[0.02005005 0.02087402 0.0211792  ... 0.         0.         0.        ],31
[0.0241394  0.02801514 0.03134155 ... 0.         0.         0.        ],31
[0.01327515 0.01376343 0.01385498 ... 0.         0.         0.        ],31
"[-0.00799561 -0.009552   -0.00726318 ... -0.08810425 -0.08721924
 -0.06149292]",11
[0.00271606 0.00238037 0.00189209 ... 0.05517578 0.05435181 0.05300903],6
"[ 0.03082275  0.00912476 -0.01177979 ...  0.02383423  0.0267334
  0.02737427]",2
"[-0.74612427 -0.73724365 -0.72076416 ... -0.03991699 -0.04925537
 -0.05075073]",2
[0.25616455 0.25131226 0.23602295 ... 0.02532959 0.02804565 0.03045654],2
[0.01205444 0.01150513 0.01052856 ... 0.03497314 0.03088379 0.02667236],2
[0.01254272 0.00888062 0.00604248 ... 0.00473022 0.00363159 0.00302124],7
[0.04244995 0.04376221 0.04272461 ... 0.4353943  0.4194336  0.40151978],47
"[-9.1552734e-05 -6.1035156e-05 -6.1035156e-05 ... -2.7465820e-04
 -3.0517578e-04 -3.3569336e-04]",48
[0.00509644 0.00338745 0.00238037 ... 0.04992676 0.03326416 0.0279541 ],2
